SUBJID,PARTNER,CONTRAST,MAPPING,BIN,TargProp,CompProp
S07,same,foil,Between,5,0.5714285714,0.4285714286
S07,diff,test,Between,5,0.25,0.75
S07,same,test,Between,5,0.375,0.625
S07,diff,foil,Between,6,0.875,0.125
S07,same,foil,Between,6,0.6,0.4
S07,diff,test,Between,6,0.25,0.75
S07,same,test,Between,6,0.25,0.75
S07,diff,foil,Between,7,1,0
S07,same,foil,Between,7,1,0
S07,diff,test,Between,7,0.25,0.75
S07,same,test,Between,7,0.375,0.625
S07,diff,foil,Between,8,1,0
S07,same,foil,Between,8,1,0
S07,diff,test,Between,8,0.375,0.625
S07,same,test,Between,8,0.375,0.625
S07,diff,foil,Between,9,1,0
S07,same,foil,Between,9,1,0
S07,diff,test,Between,9,0.25,0.75
S07,same,test,Between,9,0.375,0.625
S07,diff,foil,Between,10,1,0
S07,same,foil,Between,10,1,0
S07,diff,test,Between,10,0.375,0.625
S07,same,test,Between,10,0.5,0.5
S07,diff,foil,Between,11,1,0
S07,same,foil,Between,11,1,0
S07,diff,test,Between,11,0.375,0.625
